	PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-	FP
51	Maxi Kleber	DAL	DAL @ NOP	10/25/2022	L	28	7	1	3	33.3	1	3	33.3	4	4	100	2	3	5	0	0	2	2	2	-7	17.0
52	Dorian Finney-Smith	DAL	DAL @ NOP	10/25/2022	L	35	4	2	5	40.0	0	2	0.0	0	0	-	2	2	4	2	0	1	1	2	-1	13.8
53	Larry Nance Jr.	NOP	NOP vs. DAL	10/25/2022	W	24	11	5	6	83.3	1	1	100	0	0	-	0	2	2	1	0	0	1	4	-2	13.9
54	Christian Wood	DAL	DAL @ NOP	10/25/2022	L	29	23	8	10	80.0	3	3	100	4	6	66.7	2	4	6	0	1	0	3	1	14	30.2
55	Spencer Dinwiddie	DAL	DAL @ NOP	10/25/2022	L	38	24	8	15	53.3	4	8	50.0	4	5	80.0	0	2	2	5	0	0	2	2	-11	31.9
56	Reggie Bullock	DAL	DAL @ NOP	10/25/2022	L	35	3	1	8	12.5	1	6	16.7	0	0	-	1	4	5	2	2	0	0	4	-2	18.0
57	CJ McCollum	NOP	NOP vs. DAL	10/25/2022	W	36	14	6	20	30.0	1	5	20.0	1	1	100	0	0	0	11	1	1	3	1	10	33.5
58	Jonas Valanciunas	NOP	NOP vs. DAL	10/25/2022	W	22	13	5	9	55.6	0	2	0.0	3	3	100	0	7	7	2	0	1	1	3	4	26.4
59	JaVale McGee	DAL	DAL @ NOP	10/25/2022	L	12	8	3	5	60.0	0	0	-	2	4	50.0	1	1	2	0	1	1	0	1	0	16.4
60	Cory Joseph	DET	DET @ WAS	10/25/2022	L	14	5	2	5	40.0	1	2	50.0	0	0	-	0	1	1	1	2	0	2	0	0	11.7
61	Monte Morris	WAS	WAS vs. DET	10/25/2022	W	30	9	3	8	37.5	1	4	25.0	2	4	50.0	1	5	6	6	0	0	0	3	19	25.2
62	Saddiq Bey	DET	DET @ WAS	10/25/2022	L	27	6	2	5	40.0	1	3	33.3	1	1	100	2	0	2	1	0	1	1	2	-24	11.9
63	Isaiah Stewart	DET	DET @ WAS	10/25/2022	L	27	13	5	11	45.5	1	4	25.0	2	2	100	1	9	10	1	0	0	0	2	-13	26.5
64	Isaiah Todd	WAS	WAS vs. DET	10/25/2022	W	3	0	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	0	2	0.0
65	Anthony Gill	WAS	WAS vs. DET	10/25/2022	W	7	2	0	1	0.0	0	1	0.0	2	2	100	0	0	0	0	0	0	0	0	7	2.0
66	Johnny Davis	WAS	WAS vs. DET	10/25/2022	W	3	0	0	2	0.0	0	1	0.0	0	0	-	0	1	1	0	0	0	0	0	1	1.2
67	Jalen Duren	DET	DET @ WAS	10/25/2022	L	23	6	3	6	50.0	0	0	-	0	1	0.0	4	4	8	0	0	0	0	2	-9	15.6
68	Killian Hayes	DET	DET @ WAS	10/25/2022	L	17	0	0	6	0.0	0	1	0.0	0	0	-	0	2	2	0	0	0	4	1	-3	-1.6
69	Isaiah Livers	DET	DET @ WAS	10/25/2022	L	20	5	1	6	16.7	0	5	0.0	3	3	100	1	2	3	1	0	0	1	3	-4	9.1
70	Bradley Beal	WAS	WAS vs. DET	10/25/2022	W	22	13	4	9	44.4	1	4	25.0	4	4	100	1	3	4	6	0	0	2	2	5	24.8
71	Kristaps Porzingis	WAS	WAS vs. DET	10/25/2022	W	25	20	8	13	61.5	2	4	50.0	2	2	100	4	3	7	2	0	0	3	5	1	28.4
72	Bojan Bogdanovic	DET	DET @ WAS	10/25/2022	L	29	25	8	13	61.5	4	7	57.1	5	5	100	1	2	3	1	0	0	2	2	-11	28.1
73	Will Barton	WAS	WAS vs. DET	10/25/2022	W	29	16	6	9	66.7	4	6	66.7	0	0	-	0	2	2	4	2	1	1	2	18	32.4
74	Delon Wright	WAS	WAS vs. DET	10/25/2022	W	16	5	2	4	50.0	1	3	33.3	0	0	-	1	1	2	3	4	1	0	0	2	26.9
75	Kevin Knox II	DET	DET @ WAS	10/25/2022	L	3	2	1	2	50.0	0	1	0.0	0	0	-	0	0	0	0	1	0	0	3	-5	5.0
76	Rui Hachimura	WAS	WAS vs. DET	10/25/2022	W	27	10	4	8	50.0	0	1	0.0	2	2	100	0	4	4	1	0	0	1	0	-5	15.3
