	PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-	FP
440	Kevin Huerter	SAC	SAC vs. LAC	10/22/2022	L	32	18	5	9	55.6	5	8	62.5	3	4	75.0	0	3	3	5	0	0	1	4	5	28.1
441	Chimezie Metu	SAC	SAC vs. LAC	10/22/2022	L	1	0	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	0	-1	0.0
442	Amir Coffey	LAC	LAC @ SAC	10/22/2022	W	5	3	1	1	100	0	0	-	1	2	50.0	0	1	1	0	0	0	1	0	0	3.2
443	Terence Davis	SAC	SAC vs. LAC	10/22/2022	L	12	8	3	5	60.0	2	4	50.0	0	0	-	0	1	1	2	0	0	1	1	1	11.2
444	Keegan Murray	SAC	SAC vs. LAC	10/22/2022	L	33	19	7	10	70.0	3	6	50.0	2	2	100	1	4	5	2	0	2	2	3	-4	32.0
445	Domantas Sabonis	SAC	SAC vs. LAC	10/22/2022	L	35	11	4	12	33.3	0	3	0.0	3	6	50.0	3	7	10	7	2	2	1	4	7	44.5
446	Davion Mitchell	SAC	SAC vs. LAC	10/22/2022	L	16	4	2	7	28.6	0	2	0.0	0	0	-	0	0	0	2	0	0	1	2	-10	6.0
447	De'Aaron Fox	SAC	SAC vs. LAC	10/22/2022	L	32	36	15	23	65.2	3	5	60.0	3	6	50.0	1	4	5	4	1	1	3	1	5	51.0
448	Harrison Barnes	SAC	SAC vs. LAC	10/22/2022	L	34	8	2	10	20.0	0	3	0.0	4	7	57.1	1	6	7	0	1	0	1	2	4	18.4
449	Reggie Jackson	LAC	LAC @ SAC	10/22/2022	W	27	14	4	5	80.0	3	3	100	3	3	100	0	2	2	5	1	0	3	2	0	23.9
450	Robert Covington	LAC	LAC @ SAC	10/22/2022	W	22	8	2	3	66.7	0	1	0.0	4	4	100	0	7	7	2	2	0	1	2	-3	24.4
451	Luke Kennard	LAC	LAC @ SAC	10/22/2022	W	28	11	4	11	36.4	1	4	25.0	2	2	100	0	1	1	0	0	0	0	0	15	12.2
452	Terance Mann	LAC	LAC @ SAC	10/22/2022	W	15	5	2	3	66.7	0	0	-	1	2	50.0	1	1	2	1	0	0	0	2	0	8.9
453	Jeff Green	DEN	DEN vs. OKC	10/22/2022	W	20	14	5	5	100	2	2	100	2	4	50.0	0	1	1	2	0	0	0	2	-14	18.2
454	Jamal Murray	DEN	DEN vs. OKC	10/22/2022	W	27	16	6	12	50.0	1	4	25.0	3	4	75.0	0	4	4	5	2	0	5	0	10	29.3
455	Kenrich Williams	OKC	OKC @ DEN	10/22/2022	L	16	3	1	2	50.0	0	0	-	1	1	100	2	1	3	3	0	0	0	3	2	11.1
456	Luguentz Dort	OKC	OKC @ DEN	10/22/2022	L	30	13	3	13	23.1	1	7	14.3	6	8	75.0	3	4	7	4	3	0	2	5	-6	34.4
457	Zeke Nnaji	DEN	DEN vs. OKC	10/22/2022	W	9	4	2	3	66.7	0	0	-	0	0	-	0	0	0	0	0	0	1	4	-10	3.0
458	Bones Hyland	DEN	DEN vs. OKC	10/22/2022	W	14	1	0	5	0.0	0	1	0.0	1	2	50.0	0	1	1	3	0	0	1	2	-15	5.7
459	Tre Mann	OKC	OKC @ DEN	10/22/2022	L	28	13	5	11	45.5	2	5	40.0	1	3	33.3	1	3	4	4	0	0	1	4	13	22.8
460	Eugene Omoruyi	OKC	OKC @ DEN	10/22/2022	L	3	2	1	1	100	0	0	-	0	0	-	0	0	0	0	0	0	0	2	4	2.0
461	Aaron Gordon	DEN	DEN vs. OKC	10/22/2022	W	28	11	3	9	33.3	1	3	33.3	4	8	50.0	5	5	10	2	0	2	2	0	19	30.0
462	Aaron Wiggins	OKC	OKC @ DEN	10/22/2022	L	16	5	1	3	33.3	1	2	50.0	2	2	100	0	6	6	1	0	0	0	1	7	13.7
463	Aleksej Pokusevski	OKC	OKC @ DEN	10/22/2022	L	12	0	0	1	0.0	0	0	-	0	0	-	0	1	1	0	2	1	0	1	-12	10.2
464	Kentavious Caldwell-Pope	DEN	DEN vs. OKC	10/22/2022	W	32	21	7	13	53.8	6	10	60.0	1	1	100	0	5	5	2	0	0	2	5	16	28.0
465	Mike Muscala	OKC	OKC @ DEN	10/22/2022	L	19	18	6	10	60.0	4	7	57.1	2	2	100	0	6	6	1	0	0	0	3	7	26.7
466	Nikola Jokic	DEN	DEN vs. OKC	10/22/2022	W	39	19	6	10	60.0	1	1	100	6	9	66.7	1	15	16	13	1	1	3	2	18	60.7
467	Bruce Brown	DEN	DEN vs. OKC	10/22/2022	W	26	5	2	8	25.0	1	3	33.3	0	2	0.0	1	1	2	3	0	1	0	1	-5	14.9
468	Lindy Waters III	OKC	OKC @ DEN	10/22/2022	L	2	0	0	0	-	0	0	-	0	0	-	0	1	1	0	0	0	0	0	-1	1.2
469	Jeremiah Robinson-Earl	OKC	OKC @ DEN	10/22/2022	L	18	10	4	6	66.7	2	4	50.0	0	0	-	0	2	2	0	1	0	2	0	-17	13.4
470	Christian Braun	DEN	DEN vs. OKC	10/22/2022	W	16	9	3	5	60.0	3	4	75.0	0	0	-	0	1	1	2	1	1	1	1	-14	18.2
471	Ousmane Dieng	OKC	OKC @ DEN	10/22/2022	L	7	0	0	2	0.0	0	0	-	0	0	-	0	0	0	0	0	0	0	0	1	0.0
472	Josh Giddey	OKC	OKC @ DEN	10/22/2022	L	33	19	8	17	47.1	2	4	50.0	1	2	50.0	4	8	12	6	1	1	1	2	-17	47.4
473	Darius Bazley	OKC	OKC @ DEN	10/22/2022	L	21	6	2	4	50.0	2	4	50.0	0	0	-	0	2	2	3	2	3	1	2	0	26.9
474	Michael Porter Jr.	DEN	DEN vs. OKC	10/22/2022	W	28	22	8	15	53.3	5	10	50.0	1	1	100	2	4	6	1	1	1	3	4	20	33.7
475	Shai Gilgeous-Alexander	OKC	OKC @ DEN	10/22/2022	L	34	28	11	24	45.8	1	5	20.0	5	5	100	0	3	3	7	1	0	5	4	-6	40.1
476	Jake LaRavia	MEM	MEM @ DAL	10/22/2022	L	22	6	2	6	33.3	2	5	40.0	0	0	-	0	2	2	0	0	0	1	5	-8	7.4
477	Kennedy Chandler	MEM	MEM @ DAL	10/22/2022	L	9	0	0	2	0.0	0	0	-	0	1	0.0	0	0	0	2	0	2	2	0	-9	7.0
478	Jaden Hardy	DAL	DAL vs. MEM	10/22/2022	W	6	0	0	3	0.0	0	2	0.0	0	0	-	0	1	1	0	0	0	2	0	3	-0.8
479	McKinley Wright IV	DAL	DAL vs. MEM	10/22/2022	W	5	2	1	4	25.0	0	1	0.0	0	0	-	1	1	2	2	1	0	0	0	3	10.4
480	Santi Aldama	MEM	MEM @ DAL	10/22/2022	L	21	8	2	4	50.0	1	3	33.3	3	3	100	2	4	6	0	0	0	2	5	-12	13.2
481	Xavier Tillman	MEM	MEM @ DAL	10/22/2022	L	9	7	3	4	75.0	1	2	50.0	0	0	-	1	1	2	1	0	0	1	0	-9	9.9
482	Josh Green	DAL	DAL vs. MEM	10/22/2022	W	15	5	1	1	100	1	1	100	2	2	100	0	0	0	1	0	0	1	5	10	5.5
483	Brandon Clarke	MEM	MEM @ DAL	10/22/2022	L	17	8	4	7	57.1	0	0	-	0	0	-	0	3	3	1	0	1	1	2	-2	15.1
484	Theo Pinson	DAL	DAL vs. MEM	10/22/2022	W	7	2	0	0	-	0	0	-	2	2	100	0	2	2	1	0	0	0	0	8	5.9
485	Maxi Kleber	DAL	DAL vs. MEM	10/22/2022	W	21	9	3	5	60.0	2	3	66.7	1	2	50.0	2	6	8	0	2	0	1	1	14	23.6
486	Christian Wood	DAL	DAL vs. MEM	10/22/2022	W	25	25	6	12	50.0	1	3	33.3	12	14	85.7	4	8	12	3	0	1	2	4	22	44.9
487	Tyus Jones	MEM	MEM @ DAL	10/22/2022	L	24	10	3	8	37.5	2	6	33.3	2	3	66.7	0	0	0	5	1	1	1	0	-19	22.5
488	Dwight Powell	DAL	DAL vs. MEM	10/22/2022	W	7	1	0	0	-	0	0	-	1	2	50.0	0	0	0	0	0	1	1	2	8	3.0
489	Spencer Dinwiddie	DAL	DAL vs. MEM	10/22/2022	W	28	15	6	13	46.2	3	5	60.0	0	0	-	0	2	2	2	0	0	3	2	25	17.4
490	Tim Hardaway Jr.	DAL	DAL vs. MEM	10/22/2022	W	26	16	3	10	30.0	2	6	33.3	8	8	100	0	2	2	2	0	0	0	1	21	21.4
491	Desmond Bane	MEM	MEM @ DAL	10/22/2022	L	27	14	4	11	36.4	2	5	40.0	4	4	100	0	5	5	4	1	0	1	2	-10	28.0
492	John Konchar	MEM	MEM @ DAL	10/22/2022	L	20	5	2	4	50.0	1	3	33.3	0	0	-	1	1	2	0	0	0	1	2	-27	6.4
493	Ja Morant	MEM	MEM @ DAL	10/22/2022	L	30	20	6	12	50.0	0	2	0.0	8	8	100	0	1	1	4	1	0	3	3	-31	27.2
494	David Roddy	MEM	MEM @ DAL	10/22/2022	L	23	12	5	12	41.7	0	4	0.0	2	2	100	1	2	3	1	0	0	1	4	-36	16.1
495	Vince Williams Jr.	MEM	MEM @ DAL	10/22/2022	L	6	0	0	2	0.0	0	2	0.0	0	0	-	0	0	0	0	0	0	0	2	-3	0.0
496	Kenneth Lofton Jr.	MEM	MEM @ DAL	10/22/2022	L	9	4	2	4	50.0	0	1	0.0	0	1	0.0	0	1	1	1	0	0	0	3	-9	6.7
497	Tyler Dorsey	DAL	DAL vs. MEM	10/22/2022	W	4	9	4	4	100	1	1	100	0	0	-	1	1	2	0	0	0	0	0	2	11.4
498	Luka Doncic	DAL	DAL vs. MEM	10/22/2022	W	30	32	12	23	52.2	4	9	44.4	4	5	80.0	2	5	7	10	2	2	3	2	31	64.4
499	Dorian Finney-Smith	DAL	DAL vs. MEM	10/22/2022	W	27	7	3	6	50.0	1	4	25.0	0	1	0.0	3	2	5	1	1	1	1	1	28	19.5
500	Steven Adams	MEM	MEM @ DAL	10/22/2022	L	22	2	1	3	33.3	0	0	-	0	2	0.0	1	3	4	1	1	4	3	1	-30	20.3
501	Reggie Bullock	DAL	DAL vs. MEM	10/22/2022	W	24	8	3	5	60.0	2	4	50.0	0	0	-	0	3	3	0	1	0	0	2	28	14.6
502	JaVale McGee	DAL	DAL vs. MEM	10/22/2022	W	13	6	3	4	75.0	0	0	-	0	0	-	2	4	6	1	0	2	1	3	2	19.7
503	Thaddeus Young	TOR	TOR @ MIA	10/22/2022	L	11	4	2	3	66.7	0	1	0.0	0	0	-	1	1	2	0	2	0	1	4	-15	11.4
504	Jimmy Butler	MIA	MIA vs. TOR	10/22/2022	W	35	24	7	16	43.8	1	1	100	9	11	81.8	1	3	4	5	0	0	2	2	6	34.3
505	Dewayne Dedmon	MIA	MIA vs. TOR	10/22/2022	W	12	2	1	1	100	0	0	-	0	0	-	1	2	3	1	0	0	1	2	-2	6.1
506	O.G. Anunoby	TOR	TOR @ MIA	10/22/2022	L	38	13	5	14	35.7	3	6	50.0	0	0	-	1	8	9	0	1	1	0	3	4	29.8
507	Caleb Martin	MIA	MIA vs. TOR	10/22/2022	W	22	8	3	8	37.5	0	2	0.0	2	2	100	2	3	5	2	1	0	1	4	17	19.0
508	Gary Trent Jr.	TOR	TOR @ MIA	10/22/2022	L	39	23	7	18	38.9	5	12	41.7	4	6	66.7	0	1	1	2	2	1	1	3	-6	35.2
509	Duncan Robinson	MIA	MIA vs. TOR	10/22/2022	W	15	8	3	5	60.0	2	3	66.7	0	0	-	0	3	3	0	0	0	0	3	-2	11.6
510	Malachi Flynn	TOR	TOR @ MIA	10/22/2022	L	9	6	2	4	50.0	2	4	50.0	0	0	-	0	0	0	0	0	0	0	3	1	6.0
511	Scottie Barnes	TOR	TOR @ MIA	10/22/2022	L	13	11	5	9	55.6	0	1	0.0	1	3	33.3	1	1	2	2	0	1	1	1	-8	18.4
512	Dalano Banton	TOR	TOR @ MIA	10/22/2022	L	6	3	1	2	50.0	1	2	50.0	0	0	-	0	0	0	0	0	1	0	1	-3	6.0
513	Kyle Lowry	MIA	MIA vs. TOR	10/22/2022	W	37	17	5	11	45.5	3	7	42.9	4	4	100	0	2	2	6	1	0	3	3	-7	28.4
514	Fred VanVleet	TOR	TOR @ MIA	10/22/2022	L	39	7	2	9	22.2	1	6	16.7	2	2	100	1	1	2	10	3	0	1	5	6	32.4
515	Bam Adebayo	MIA	MIA vs. TOR	10/22/2022	W	36	10	4	6	66.7	0	1	0.0	2	2	100	0	7	7	1	0	0	3	3	5	16.9
516	Tyler Herro	MIA	MIA vs. TOR	10/22/2022	W	22	14	4	8	50.0	1	4	25.0	5	5	100	2	6	8	6	0	0	2	5	0	30.6
517	Precious Achiuwa	TOR	TOR @ MIA	10/22/2022	L	34	18	5	9	55.6	2	5	40.0	6	7	85.7	3	8	11	1	0	0	1	1	16	31.7
518	Max Strus	MIA	MIA vs. TOR	10/22/2022	W	37	20	8	14	57.1	3	7	42.9	1	1	100	0	5	5	3	0	2	0	1	-2	36.5
519	Gabe Vincent	MIA	MIA vs. TOR	10/22/2022	W	24	9	3	7	42.9	1	5	20.0	2	2	100	0	7	7	4	0	0	3	2	0	20.4
520	Pascal Siakam	TOR	TOR @ MIA	10/22/2022	L	40	23	8	19	42.1	0	2	0.0	7	8	87.5	1	7	8	9	1	1	1	4	-5	51.1
521	Christian Koloko	TOR	TOR @ MIA	10/22/2022	L	12	1	0	0	-	0	0	-	1	2	50.0	0	2	2	0	0	0	0	0	-5	3.4
522	Kevin Love	CLE	CLE @ CHI	10/22/2022	W	23	15	5	9	55.6	5	6	83.3	0	0	-	0	12	12	4	0	1	0	1	27	38.4
523	Marko Simonovic	CHI	CHI vs. CLE	10/22/2022	L	2	0	0	1	0.0	0	1	0.0	0	0	-	0	0	0	0	0	0	0	0	-8	0.0
524	Isaac Okoro	CLE	CLE @ CHI	10/22/2022	W	27	2	1	5	20.0	0	2	0.0	0	0	-	0	1	1	0	0	0	3	1	-4	0.2
525	Coby White	CHI	CHI vs. CLE	10/22/2022	L	24	5	2	8	25.0	0	5	0.0	1	1	100	1	0	1	1	0	0	0	3	-30	7.7
526	Donovan Mitchell	CLE	CLE @ CHI	10/22/2022	W	35	32	10	19	52.6	4	6	66.7	8	9	88.9	3	6	9	8	1	0	4	2	19	53.8
527	Derrick Jones Jr.	CHI	CHI vs. CLE	10/22/2022	L	17	8	2	3	66.7	1	1	100	3	4	75.0	1	1	2	0	2	1	1	1	-12	18.4
528	Raul Neto	CLE	CLE @ CHI	10/22/2022	W	15	6	3	5	60.0	0	1	0.0	0	0	-	0	4	4	4	1	0	1	1	11	18.8
529	Goran Dragic	CHI	CHI vs. CLE	10/22/2022	L	11	4	2	4	50.0	0	1	0.0	0	0	-	0	2	2	3	0	0	1	1	-16	9.9
530	Evan Mobley	CLE	CLE @ CHI	10/22/2022	W	25	16	7	9	77.8	0	0	-	2	2	100	1	2	3	1	1	1	3	1	7	24.1
531	Isaiah Mobley	CLE	CLE @ CHI	10/22/2022	W	4	3	1	1	100	1	1	100	0	0	-	0	1	1	0	0	0	0	1	6	4.2
532	Dalen Terry	CHI	CHI vs. CLE	10/22/2022	L	4	0	0	1	0.0	0	0	-	0	0	-	0	0	0	0	0	0	1	0	-6	-1.0
533	Robin Lopez	CLE	CLE @ CHI	10/22/2022	W	16	12	6	7	85.7	0	0	-	0	0	-	1	2	3	0	0	1	0	1	19	18.6
534	Alex Caruso	CHI	CHI vs. CLE	10/22/2022	L	17	2	0	1	0.0	0	1	0.0	2	2	100	0	2	2	2	1	1	1	1	-15	12.4
535	DeMar DeRozan	CHI	CHI vs. CLE	10/22/2022	L	33	13	3	9	33.3	0	0	-	7	7	100	0	2	2	1	2	0	0	2	-6	22.9
536	Cedi Osman	CLE	CLE @ CHI	10/22/2022	W	26	15	5	8	62.5	2	3	66.7	3	3	100	0	2	2	4	0	0	1	5	41	22.4
537	Ayo Dosunmu	CHI	CHI vs. CLE	10/22/2022	L	28	5	2	7	28.6	1	4	25.0	0	0	-	1	3	4	3	0	0	0	3	-5	14.3
538	Lamar Stevens	CLE	CLE @ CHI	10/22/2022	W	4	0	0	1	0.0	0	0	-	0	0	-	0	1	1	0	0	0	0	0	6	1.2
539	Patrick Williams	CHI	CHI vs. CLE	10/22/2022	L	16	6	2	7	28.6	1	3	33.3	1	2	50.0	1	2	3	0	1	0	1	1	0	11.6
540	Javonte Green	CHI	CHI vs. CLE	10/22/2022	L	14	6	2	5	40.0	0	2	0.0	2	3	66.7	1	2	3	2	2	2	0	0	-11	24.6
541	Dean Wade	CLE	CLE @ CHI	10/22/2022	W	4	5	2	3	66.7	1	2	50.0	0	0	-	0	2	2	1	0	0	1	0	6	7.9
542	Andre Drummond	CHI	CHI vs. CLE	10/22/2022	L	13	8	3	8	37.5	0	1	0.0	2	2	100	3	4	7	0	2	0	3	2	-16	19.4
543	Zach LaVine	CHI	CHI vs. CLE	10/22/2022	L	28	23	9	17	52.9	2	6	33.3	3	4	75.0	0	3	3	4	2	0	0	2	-19	38.6
544	Caris LeVert	CLE	CLE @ CHI	10/22/2022	W	33	14	4	12	33.3	3	6	50.0	3	4	75.0	0	4	4	8	1	1	2	1	17	34.8
545	Tony Bradley	CHI	CHI vs. CLE	10/22/2022	L	4	0	0	1	0.0	0	1	0.0	0	0	-	1	1	2	0	0	0	0	0	-6	2.4
546	Jarrett Allen	CLE	CLE @ CHI	10/22/2022	W	29	8	4	6	66.7	0	0	-	0	0	-	3	3	6	2	0	1	2	2	5	19.2
547	Nikola Vucevic	CHI	CHI vs. CLE	10/22/2022	L	31	16	7	12	58.3	2	3	66.7	0	0	-	1	3	4	3	0	3	2	3	-10	32.3
548	Serge Ibaka	MIL	MIL vs. HOU	10/22/2022	W	15	9	3	5	60.0	2	2	100	1	2	50.0	1	4	5	0	0	1	0	3	7	18.0
549	Brook Lopez	MIL	MIL vs. HOU	10/22/2022	W	29	9	3	7	42.9	3	6	50.0	0	0	-	0	5	5	2	2	5	1	3	4	38.0
550	Wesley Matthews	MIL	MIL vs. HOU	10/22/2022	W	12	0	0	1	0.0	0	1	0.0	0	0	-	0	1	1	0	0	0	0	1	10	1.2
551	Thanasis Antetokounmpo	MIL	MIL vs. HOU	10/22/2022	W	1	0	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	0	0	0.0
552	Bobby Portis	MIL	MIL vs. HOU	10/22/2022	W	23	13	6	10	60.0	1	1	100	0	0	-	3	5	8	1	1	1	2	2	8	28.1
553	Boban Marjanovic	HOU	HOU @ MIL	10/22/2022	L	4	3	1	2	50.0	0	0	-	1	1	100	0	0	0	1	0	0	0	0	-2	4.5
554	Grayson Allen	MIL	MIL vs. HOU	10/22/2022	W	28	11	3	11	27.3	2	7	28.6	3	4	75.0	2	3	5	2	1	0	0	2	4	23.0
555	Jevon Carter	MIL	MIL vs. HOU	10/22/2022	W	25	0	0	4	0.0	0	3	0.0	0	0	-	0	1	1	4	2	0	3	4	7	10.2
556	Trevor Hudgins	HOU	HOU @ MIL	10/22/2022	L	4	3	1	1	100	1	1	100	0	0	-	0	0	0	0	0	0	0	0	-2	3.0
557	A.J. Green	MIL	MIL vs. HOU	10/22/2022	W	2	0	0	0	-	0	0	-	0	0	-	0	0	0	1	0	0	0	0	-2	1.5
558	MarJon Beauchamp	MIL	MIL vs. HOU	10/22/2022	W	2	2	1	1	100	0	0	-	0	0	-	0	0	0	0	0	0	0	0	-2	2.0
559	Alperen Sengun	HOU	HOU @ MIL	10/22/2022	L	23	9	4	9	44.4	0	3	0.0	1	2	50.0	3	6	9	2	1	1	1	2	-8	27.8
560	Sandro Mamukelashvili	MIL	MIL vs. HOU	10/22/2022	W	2	0	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	1	0	-2	-1.0
561	Kenyon Martin Jr.	HOU	HOU @ MIL	10/22/2022	L	30	14	6	11	54.5	2	5	40.0	0	1	0.0	2	3	5	2	0	0	1	1	-5	22.0
562	Daishen Nix	HOU	HOU @ MIL	10/22/2022	L	14	2	1	3	33.3	0	2	0.0	0	0	-	0	1	1	1	0	0	1	2	-11	3.7
563	Jalen Green	HOU	HOU @ MIL	10/22/2022	L	32	22	6	19	31.6	4	7	57.1	6	6	100	1	3	4	2	1	0	2	3	-5	30.8
564	Tari Eason	HOU	HOU @ MIL	10/22/2022	L	19	11	4	9	44.4	3	4	75.0	0	0	-	0	2	2	1	1	3	1	3	-7	25.9
565	Jabari Smith Jr.	HOU	HOU @ MIL	10/22/2022	L	28	13	5	15	33.3	3	7	42.9	0	0	-	2	9	11	1	0	2	0	3	-11	33.7
566	Usman Garuba	HOU	HOU @ MIL	10/22/2022	L	25	6	2	3	66.7	1	1	100	1	2	50.0	4	4	8	2	4	0	2	2	-12	28.6
567	Josh Christopher	HOU	HOU @ MIL	10/22/2022	L	16	3	1	5	20.0	0	2	0.0	1	2	50.0	1	1	2	1	0	0	1	1	-15	5.9
568	Garrison Mathews	HOU	HOU @ MIL	10/22/2022	L	13	1	0	1	0.0	0	1	0.0	1	1	100	0	0	0	0	0	0	1	1	-13	0.0
569	Jordan Nwora	MIL	MIL vs. HOU	10/22/2022	W	18	9	4	6	66.7	1	1	100	0	0	-	0	3	3	0	0	0	3	1	15	9.6
570	Kevin Porter Jr.	HOU	HOU @ MIL	10/22/2022	L	34	18	5	15	33.3	2	4	50.0	6	7	85.7	2	3	5	7	2	0	2	4	-9	38.5
571	Giannis Antetokounmpo	MIL	MIL vs. HOU	10/22/2022	W	28	44	17	21	81.0	2	3	66.7	8	13	61.5	2	10	12	3	0	0	4	2	23	58.9
572	Jrue Holiday	MIL	MIL vs. HOU	10/22/2022	W	32	19	8	15	53.3	3	4	75.0	0	0	-	0	5	5	10	0	3	2	2	8	47.0
573	George Hill	MIL	MIL vs. HOU	10/22/2022	W	24	9	3	4	75.0	2	3	66.7	1	2	50.0	0	2	2	6	0	0	0	2	20	20.4
574	Terrence Ross	ORL	ORL vs. BOS	10/22/2022	L	35	29	11	16	68.8	5	8	62.5	2	2	100	1	3	4	1	1	0	0	3	-3	38.3
575	Noah Vonleh	BOS	BOS @ ORL	10/22/2022	W	14	2	1	2	50.0	0	0	-	0	0	-	2	1	3	0	0	1	0	4	5	8.6
576	Jayson Tatum	BOS	BOS @ ORL	10/22/2022	W	38	40	14	21	66.7	4	10	40.0	8	9	88.9	0	8	8	1	1	2	1	2	6	59.1
577	Derrick White	BOS	BOS @ ORL	10/22/2022	W	37	27	10	17	58.8	5	9	55.6	2	3	66.7	2	2	4	4	1	0	0	2	7	40.8
578	Luke Kornet	BOS	BOS @ ORL	10/22/2022	W	6	1	0	0	-	0	0	-	1	2	50.0	1	0	1	0	0	0	1	1	-3	1.2
579	Mo Bamba	ORL	ORL vs. BOS	10/22/2022	L	12	3	1	3	33.3	1	3	33.3	0	0	-	0	0	0	1	0	0	0	2	2	4.5
580	Wendell Carter Jr.	ORL	ORL vs. BOS	10/22/2022	L	35	15	6	13	46.2	1	1	100	2	4	50.0	5	7	12	5	0	1	3	5	-4	36.9
581	Cole Anthony	ORL	ORL vs. BOS	10/22/2022	L	32	14	6	13	46.2	2	5	40.0	0	2	0.0	1	8	9	6	1	1	2	4	0	37.8
582	R.J. Hampton	ORL	ORL vs. BOS	10/22/2022	L	9	1	0	0	-	0	0	-	1	2	50.0	0	0	0	0	1	0	0	1	-2	4.0
583	Payton Pritchard	BOS	BOS @ ORL	10/22/2022	W	4	3	1	2	50.0	1	1	100	0	0	-	0	0	0	0	0	0	0	1	-2	3.0
584	Sam Hauser	BOS	BOS @ ORL	10/22/2022	W	7	9	3	4	75.0	3	4	75.0	0	0	-	0	2	2	0	0	0	0	0	2	11.4
585	Paolo Banchero	ORL	ORL vs. BOS	10/22/2022	L	33	23	6	19	31.6	2	7	28.6	9	11	81.8	1	4	5	3	0	1	2	1	-16	34.5
586	Franz Wagner	ORL	ORL vs. BOS	10/22/2022	L	35	18	8	17	47.1	2	6	33.3	0	0	-	2	4	6	2	1	0	1	1	-17	30.2
587	Kevon Harris	ORL	ORL vs. BOS	10/22/2022	L	19	3	1	4	25.0	0	1	0.0	1	2	50.0	0	3	3	1	1	0	1	2	2	10.1
588	Grant Williams	BOS	BOS @ ORL	10/22/2022	W	31	13	3	3	100	3	3	100	4	4	100	0	6	6	2	0	2	0	5	7	29.2
589	Chuma Okeke	ORL	ORL vs. BOS	10/22/2022	L	16	8	3	3	100	2	2	100	0	0	-	2	2	4	2	0	0	0	3	-1	15.8
590	Bol Bol	ORL	ORL vs. BOS	10/22/2022	L	15	6	3	7	42.9	0	1	0.0	0	0	-	0	5	5	0	0	4	0	2	9	24.0
591	Malcolm Brogdon	BOS	BOS @ ORL	10/22/2022	W	21	13	4	10	40.0	1	4	25.0	4	5	80.0	1	1	2	4	0	0	2	1	-2	19.4
592	Jaylen Brown	BOS	BOS @ ORL	10/22/2022	W	38	12	4	16	25.0	1	6	16.7	3	4	75.0	1	8	9	4	1	1	2	1	14	32.8
593	Marcus Smart	BOS	BOS @ ORL	10/22/2022	W	37	6	2	11	18.2	1	9	11.1	1	1	100	0	2	2	8	1	0	2	3	0	21.4
594	Blake Griffin	BOS	BOS @ ORL	10/22/2022	W	10	0	0	1	0.0	0	1	0.0	0	0	-	0	0	0	1	1	0	0	1	-4	4.5
595	Goga Bitadze	IND	IND vs. DET	10/22/2022	W	25	14	6	8	75.0	1	3	33.3	1	4	25.0	8	7	15	4	1	1	1	3	8	43.0
596	T.J. McConnell	IND	IND vs. DET	10/22/2022	W	13	2	1	3	33.3	0	0	-	0	0	-	1	3	4	2	1	0	1	0	6	11.8
597	Cory Joseph	DET	DET @ IND	10/22/2022	L	16	10	3	6	50.0	2	3	66.7	2	2	100	0	1	1	3	0	0	0	2	-5	15.7
598	Isaiah Stewart	DET	DET @ IND	10/22/2022	L	30	11	2	10	20.0	1	4	25.0	6	10	60.0	6	11	17	2	0	0	2	5	-1	32.4
599	Jaden Ivey	DET	DET @ IND	10/22/2022	L	34	17	6	13	46.2	2	3	66.7	3	6	50.0	2	8	10	5	1	0	5	3	-4	34.5
600	Bojan Bogdanovic	DET	DET @ IND	10/22/2022	L	32	16	5	16	31.3	4	10	40.0	2	2	100	1	2	3	5	0	0	0	1	-4	27.1
601	Buddy Hield	IND	IND vs. DET	10/22/2022	W	16	6	2	8	25.0	2	6	33.3	0	0	-	1	1	2	1	0	1	2	1	0	10.9
602	Hamidou Diallo	DET	DET @ IND	10/22/2022	L	6	0	0	2	0.0	0	0	-	0	0	-	0	2	2	2	0	0	0	0	-8	5.4
603	Andrew Nembhard	IND	IND vs. DET	10/22/2022	W	9	8	3	6	50.0	2	3	66.7	0	0	-	1	1	2	3	0	0	1	1	8	13.9
604	Killian Hayes	DET	DET @ IND	10/22/2022	L	17	5	2	4	50.0	1	3	33.3	0	0	-	0	0	0	2	0	1	0	2	-12	11.0
605	Tyrese Haliburton	IND	IND vs. DET	10/22/2022	W	32	24	7	16	43.8	3	6	50.0	7	8	87.5	2	2	4	10	5	0	1	2	1	57.8
606	Aaron Nesmith	IND	IND vs. DET	10/22/2022	W	23	7	2	5	40.0	1	3	33.3	2	2	100	0	1	1	0	0	3	1	3	-3	16.2
607	Jalen Smith	IND	IND vs. DET	10/22/2022	W	28	19	9	16	56.3	1	5	20.0	0	1	0.0	3	12	15	1	0	3	1	2	-1	46.5
608	Isaiah Jackson	IND	IND vs. DET	10/22/2022	W	22	8	2	6	33.3	0	0	-	4	5	80.0	2	3	5	1	0	5	0	3	3	30.5
609	Bennedict Mathurin	IND	IND vs. DET	10/22/2022	W	31	27	10	18	55.6	5	8	62.5	2	2	100	1	6	7	2	0	0	2	3	0	36.4
