	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
41	Kenrich Williams	NOP	NOP @ SAC	08/11/2020	L	18	4	2	3	66.7	0	0	-	0	0	-	0	1	1	2	0	0	1	3	-7	7.2
42	Alex Len	SAC	SAC vs. NOP	08/11/2020	W	13	6	2	3	66.7	2	2	100	0	0	-	0	4	4	1	0	0	0	4	1	12.3
43	Cory Joseph	SAC	SAC vs. NOP	08/11/2020	W	37	8	1	9	11.1	0	5	0.0	6	6	100	1	3	4	6	0	0	3	1	10	18.8
44	Nemanja Bjelica	SAC	SAC vs. NOP	08/11/2020	W	33	13	4	9	44.4	2	5	40.0	3	3	100	1	4	5	2	2	1	3	3	14	28.0
45	Jaxson Hayes	NOP	NOP @ SAC	08/11/2020	L	22	9	4	4	100	0	0	-	1	1	100	1	4	5	0	1	1	2	2	-9	19.0
46	DaQuan Jeffries	SAC	SAC vs. NOP	08/11/2020	W	14	3	1	5	20.0	0	1	0.0	1	2	50.0	0	1	1	0	0	0	0	3	-1	4.2
47	Lonzo Ball	NOP	NOP @ SAC	08/11/2020	L	29	16	5	9	55.6	4	6	66.7	2	2	100	1	2	3	4	0	2	4	3	-4	27.6
48	E'Twaun Moore	NOP	NOP @ SAC	08/11/2020	L	24	14	6	11	54.5	0	1	0.0	2	2	100	1	3	4	3	1	0	1	0	-15	25.3
49	Jahlil Okafor	NOP	NOP @ SAC	08/11/2020	L	26	21	9	11	81.8	0	0	-	3	4	75.0	1	3	4	1	0	2	1	2	3	32.3
0	Jabari Parker	SAC	SAC vs. NOP	08/11/2020	W	14	12	6	6	100	0	0	-	0	0	-	2	2	4	1	0	1	1	1	4	20.3
1	Nicolo Melli	NOP	NOP @ SAC	08/11/2020	L	25	5	1	10	10.0	0	4	0.0	3	4	75.0	0	4	4	1	0	0	2	3	0	9.3
2	Yogi Ferrell	SAC	SAC vs. NOP	08/11/2020	W	11	6	3	5	60.0	0	1	0.0	0	0	-	0	0	0	2	0	0	2	3	-4	7.0
3	Harrison Barnes	SAC	SAC vs. NOP	08/11/2020	W	37	25	9	19	47.4	3	5	60.0	4	4	100	4	4	8	2	0	2	0	0	2	43.6
4	Josh Hart	NOP	NOP @ SAC	08/11/2020	L	30	3	1	8	12.5	0	5	0.0	1	2	50.0	0	10	10	1	2	0	2	1	1	20.5
5	Harry Giles III	SAC	SAC vs. NOP	08/11/2020	W	25	12	6	17	35.3	0	1	0.0	0	0	-	4	7	11	3	0	2	4	5	-2	31.7
6	Maxi Kleber	DAL	DAL vs. POR	08/11/2020	L	27	12	4	9	44.4	3	8	37.5	1	2	50.0	1	3	4	0	2	1	3	3	-10	22.8
7	Damian Lillard	POR	POR @ DAL	08/11/2020	W	41	61	17	32	53.1	9	17	52.9	18	18	100	2	3	5	8	1	0	3	2	8	79.0
8	Dorian Finney-Smith	DAL	DAL vs. POR	08/11/2020	L	30	15	6	8	75.0	3	5	60.0	0	0	-	1	3	4	1	0	0	0	4	9	21.3
9	Delon Wright	DAL	DAL vs. POR	08/11/2020	L	23	1	0	4	0.0	0	1	0.0	1	2	50.0	1	2	3	5	1	0	1	1	4	14.1
10	Tim Hardaway Jr.	DAL	DAL vs. POR	08/11/2020	L	37	24	6	11	54.5	3	8	37.5	9	9	100	1	3	4	3	0	0	1	2	-2	32.3
11	Luka Doncic	DAL	DAL vs. POR	08/11/2020	L	35	25	8	19	42.1	2	8	25.0	7	9	77.8	1	7	8	10	0	1	6	1	-3	46.6
12	Boban Marjanovic	DAL	DAL vs. POR	08/11/2020	L	7	2	1	1	100	0	0	-	0	0	-	0	1	1	0	0	0	1	0	-7	2.2
13	Carmelo Anthony	POR	POR @ DAL	08/11/2020	W	35	26	10	17	58.8	3	5	60.0	3	4	75.0	0	8	8	2	2	0	1	3	12	43.6
14	Mario Hezonja	POR	POR @ DAL	08/11/2020	W	22	3	1	5	20.0	0	3	0.0	1	2	50.0	0	5	5	4	1	0	0	3	7	18.0
15	Hassan Whiteside	POR	POR @ DAL	08/11/2020	W	19	8	3	3	100	0	0	-	2	2	100	3	5	8	1	1	2	0	4	15	28.1
16	Kristaps Porzingis	DAL	DAL vs. POR	08/11/2020	L	36	36	12	17	70.6	7	9	77.8	5	6	83.3	0	6	6	0	0	2	2	6	1	47.2
17	Gary Trent Jr.	POR	POR @ DAL	08/11/2020	W	36	11	5	11	45.5	1	6	16.7	0	0	-	0	1	1	1	2	0	0	4	24	19.7
18	Justin Jackson	DAL	DAL vs. POR	08/11/2020	L	8	2	0	2	0.0	0	1	0.0	2	2	100	0	2	2	0	0	0	0	2	-12	4.4
19	Michael Kidd-Gilchrist	DAL	DAL vs. POR	08/11/2020	L	7	2	1	1	100	0	0	-	0	1	0.0	0	1	1	0	0	0	1	2	3	2.2
20	CJ McCollum	POR	POR @ DAL	08/11/2020	W	39	8	2	14	14.3	1	5	20.0	3	3	100	1	3	4	2	0	0	0	5	-25	15.8
21	Trey Burke	DAL	DAL vs. POR	08/11/2020	L	31	12	4	9	44.4	2	4	50.0	2	2	100	0	4	4	9	1	1	2	2	2	34.3
22	Jusuf Nurkic	POR	POR @ DAL	08/11/2020	W	29	6	3	9	33.3	0	1	0.0	0	0	-	3	6	9	0	2	1	2	6	-12	23.8
23	Zach Collins	POR	POR @ DAL	08/11/2020	W	20	11	5	7	71.4	1	1	100	0	0	-	3	5	8	0	0	0	2	4	-14	18.6
24	BJ Johnson	ORL	ORL vs. BKN	08/11/2020	L	19	8	2	8	25.0	0	1	0.0	4	4	100	2	5	7	1	1	0	2	1	6	18.9
